"","YEAR","Stock","Lat_mean","Lon_mean","Lat_rotated","Lon_rotated","along_mean","cross_mean","Distance","Max_Lat","Min_Lat","mDepth","mSST","mBT","STRAT_BIOMASS"
"1070",2003,"104",40.011269,-70.864663,40.32044,-70.914916,671.10057,-46.874907,691.632088916456,44.227405,36.1361,126.599952013333,6.0347020579923,7.26104959989275,0.135829223709511
"1071",2004,"104",39.585255,-71.633545,39.954702,-72.070267,583.75893,-43.650157,607.807580639975,43.06808,36.238833,129.50844291967,5.59119078270526,7.06463104630059,0.0951753914071034
"1072",2005,"104",39.725642,-70.821082,40.18163,-71.029771,660.8203,-31.396103,673.382281505331,43.182158,36.025818,128.273715864678,5.56164904430591,8.93248154838611,0.0855811483540416
"1073",2006,"104",39.870412,-71.023067,40.314182,-71.261202,644.58651,-49.526082,675.647289651204,42.810733,35.733783,126.569777571493,6.49900045888214,9.97086801557254,0.111615298287205
"1074",2007,"104",39.642301,-71.449676,40.063519,-71.83846,602.19327,-42.442875,627.511854435961,42.884702,35.850878,134.684421758806,6.89518029614293,8.5858395788051,0.138445250786058
"1075",2008,"104",40.036535,-71.000095,40.391936,-71.097725,656.42276,-55.975197,690.168007547242,43.380165,35.69035,123.213191938712,5.96703620698589,9.89581250283235,0.10659769374452
"1076",2009,"104",39.7723,-71.132972,40.192403,-71.410517,633.15285,-40.08268,657.573633530415,43.02797,35.771398,135.697394755442,7.03360421847636,8.83233322601865,0.125531118607525
"1077",2010,"104",39.727507,-71.103213,40.154312,-71.327855,636.15044,-33.939615,657.47543705403,43.576052,36.045493,137.828549371598,7.7036186877976,9.97531455703781,0.111479542438021
"1078",2011,"104",39.722502,-71.008096,40.18447,-71.266159,642.02888,-35.429957,663.044421962417,43.532193,35.816682,150.550637525908,6.30783851288885,9.10397686607598,0.130444757296974
"1079",2012,"104",39.954612,-70.914516,40.342394,-71.054868,660.87761,-49.157807,687.366462393977,43.959352,35.723733,132.913650664204,9.24652107385947,10.4031756103812,0.17689510321827
"1080",2013,"104",39.844867,-70.692649,40.254483,-70.839709,675.83859,-37.250491,688.985910169735,43.712128,35.651733,141.366225070625,7.68028679503592,9.78545151980665,0.125938327969662
"1081",2014,"104",40.123839,-70.491957,40.292192,-70.402786,709.60575,-39.018303,713.626537659577,43.28621,37.737665,129.827197347513,NA,NA,0.125277822197661
"1082",1968,"105_N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00303199035912522
"1083",1969,"105_N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00417798952461948
"1084",1970,"105_N",41.9,-69.1,41.888844,-69.106683,876.31475,-198,921.109899060135,41.9,41.9,188,4.4,6.3,0.0149102554294324
"1085",1971,"105_N",42.266667,-70.516667,42.269265,-70.531719,705.06664,-260,895.495605209227,42.266667,42.266667,77,3.4,3.2,0.00593280852461988
"1086",1972,"105_N",42.2,-70.234903,42.2006,-70.226848,726.29567,-252,900.614145919986,42.2,42.2,36.3176389960425,3.3,3.3,0.0134235903000743
"1087",1973,"105_N",42.351666,-70.422777,42.361109,-70.408497,712.62858,-269.0166,909.223700456115,42.433333,42.233333,81.1833275330249,6.70416811674377,3.64083362334876,0.00493023884830861
"1088",1974,"105_N",42.357552,-70.357366,42.361808,-70.332459,717.3504,-270.12716,912.206015018645,42.733333,42.266667,87.4944459034995,0,NA,0.00622597288181099
"1089",1975,"105_N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00418771825381362
"1090",1976,"105_N",42.2,-70.083333,42.201275,-70.098143,736.98246,-252,905.887680254011,42.2,42.2,87,4.6,5.2,0.010388127914138
"1091",1977,"105_N",42.542496,-70.430805,42.558469,-70.453407,711.37646,-291.09952,927.059056773253,42.55,42.533333,111.009651841343,10.0345897967429,4.55497587039664,0.00353902539674654
"1092",1978,"105_N",42.816667,-70.566667,42.808778,-70.549126,705.06664,-320,948.595811108228,42.816667,42.816667,110,8.4,3.2,0.00207493601339
"1093",1979,"105_N",44.216667,-67.8,44.225583,-67.781557,1221.2039,-308,1196.10982009918,44.216667,44.216667,117,4.6,4.5,0.00448327127516119
"1094",1980,"105_N",42.252753,-70.359461,42.25388,-70.331028,717.96861,-258.33038,901.685804559165,42.333333,42.1,79.561527556565,6.08558773326958,3.87267177780434,0.00997664846349067
"1095",1981,"105_N",44.297539,-67.699046,44.319283,-67.670464,1224.8414,-309.34417,1209.69107379839,44.316667,43.85,86.9349573982661,6.47540651626084,5.11639565582611,0.0130023210396717
"1096",1982,"105_N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012341743121019
"1097",1983,"105_N",42.520453,-70.127777,42.419196,-69.852967,766.82772,-275.21536,936.950921255756,43.9,42.366667,50.4218608677146,6.42979320800811,4.5,0.0208941231113726
"1098",1984,"105_N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00463549791943724
"1099",1985,"105_N",42.546595,-69.53899,42.304951,-69.81062,800.99546,-261.47421,927.782914961389,43.383333,42.25,113.01431425288,4,3.8,0.00658608343179125
"1100",1986,"105_N",43.833333,-68.45,43.851714,-68.444262,1198.3583,-318,1132.4209009767,43.833333,43.833333,44,NA,NA,0.00247766142617681
"1101",1987,"105_N",42.469307,-70.15883,42.460803,-69.850937,793.10979,-280.14246,941.032929106059,43.616667,42.166667,43.853297485949,5.34861786635737,4.77569106682131,0.0140836947857591
"1102",1988,"105_N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00365882036294069
"1103",1989,"105_N",42.283333,-70.25,42.29034,-70.26128,723.77636,-262,907.985060176086,42.283333,42.283333,33,NA,NA,0.00761278852690491
"1104",1990,"105_N",42.583818,-70.053333,42.494933,-69.853281,788.50945,-284.24508,944.220605173023,43.85,42.133333,66.8069611495497,3.9,3.2,0.0141450251005369
"1105",1991,"105_N",42.890148,-70.249487,42.884162,-70.232832,726.39432,-328.8109,967.499260055613,43.266667,42.616667,114.830295702076,5.09799081873711,4.24073002881736,0.0122037132437425
"1106",1992,"105_N",43.85,-68.6,43.870591,-68.581984,1196.0206,-328,1128.38717318634,43.85,43.85,101,3.3,2.9,0.00749880887089601
"1107",1993,"105_N",43.616667,-69.05,43.615747,-69.045052,1010.8069,-376,1084.97116908195,43.616667,43.616667,119,3.4,2.3,0.00700409759066512
"1108",1994,"105_N",43.8,-68.633333,43.77878,-68.646771,1191.3168,-326,1116.96463483976,43.8,43.8,115,NA,NA,0.00936142136739235
"1109",1995,"105_N",42.801855,-70.318807,42.777158,-70.041259,741.98099,-316.4779,964.169151590399,43.6,42.15,93.8408974291335,6.55038787827738,4.29999107230148,0.0213785171420248
"1110",1996,"105_N",43.283333,-70.183333,43.280278,-70.169368,731.70773,-372,1009.21498661667,43.283333,43.283333,118,5.5,4.1,0.0116197086832675
"1111",1997,"105_N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0120737724860765
"1112",1998,"105_N",42.416667,-70.416667,42.41507,-70.409517,713.12268,-276,914.505072102718,42.416667,42.416667,35,4.9,3.3,0.00572105453718006
"1113",1999,"105_N",42.590284,-70.379902,42.595335,-70.373396,716.14237,-296.25884,933.677363653447,42.9675,42.4795,97.069313545169,7.06379061753451,4.0545968725115,0.0125262028016699
"1114",2000,"105_N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0275567827351846
"1115",2001,"105_N",41.396518,-68.97303,41.388887,-68.980685,871.58061,-142,883.196248929895,41.396518,41.396518,149,5.22,4.92,0.0123546462097362
"1116",2002,"105_N",43.343146,-70.118201,43.334559,-70.105605,736.20505,-378.46209,1016.90551734035,43.376167,43.264167,124.96030614106,6.40613741521413,5.25665479987687,0.014001969895843
"1117",2003,"105_N",42.448093,-70.513435,42.449916,-70.493403,707.75674,-280,914.810666831388,42.448093,42.448093,59,4.58,3.56,0.0113346462903048
"1118",2004,"105_N",43.242608,-70.044968,43.244862,-70.044556,742.25703,-368,1010.18532448344,43.242608,43.242608,143,3.93,3.33,0.0040692183084472
