"","YEAR","Stock","Lat_mean","Lon_mean","Lat_rotated","Lon_rotated","along_mean","cross_mean","Distance","Max_Lat","Min_Lat","mDepth","mSST","mBT","STRAT_BIOMASS"
"89",2010,"23",41.319163,-68.49517,41.169821,-68.275652,919.37924,-100.84358,903.282047935875,44.229472,39.818228,76.0477955148183,13.844396659594,12.3314528929737,0.367445019006219
"90",2011,"23",41.296858,-68.28443,41.178145,-67.980693,942.96105,-94.845641,920.992063617235,44.274113,39.791,76.5499584708709,15.9053467441826,13.0260240416323,0.303107734169436
"91",2012,"23",41.368079,-68.589642,41.250671,-68.33314,915.75073,-109.96818,906.637304712074,44.251053,40.373543,73.1607310972652,16.7208115560236,13.3495668075894,0.30281030716784
"92",2013,"23",41.345746,-68.319607,41.213529,-68.074444,936.63337,-100.11185,918.377638816402,42.390908,40.324483,66.4453883158608,14.4702736844404,13.0549800024554,0.221230589000388
"93",1968,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"94",1969,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"95",1970,"25",36.825,-74.691667,36.822892,-74.698834,181.59215,-10,204.081595071976,36.833333,36.816667,105,25.55,12.6,0.000657670435302772
"96",1971,"25",37.766667,-74.166667,37.769657,-74.157742,292.32493,-10,316.488216923756,37.766667,37.766667,206,20.7,NA,0.000100958180857882
"97",1972,"25",38.15,-73.688889,38.21804,-73.79926,350.36142,-13.333333,372.904025130394,39.316667,37.166667,122,19.4666666666667,12.3333333333333,0.0014831237521265
"98",1973,"25",39.678419,-71.901105,39.772611,-72.122366,571.16948,-31.431168,587.712151899408,40.166667,38.516667,117.503867236748,20.1954562874376,12.3,0.00201499579554599
"99",1974,"25",36.019873,-74.78654,36.013511,-74.777822,92.52786,-4.3847608,114.241045583233,36.05,36,162.304783544662,22.2192380411383,11.8488246033624,0.000487455501552601
"100",1975,"25",38.175,-73.441666,57.470842,-110.53496,363.97785,-13,3634.62305718586,39.55,36.8,236.5,16.6,11.65,0.000619210175928341
"101",1976,"25",36.776174,-74.640411,36.795791,-74.706216,176.73156,-9.6532263,201.012918758607,38.066667,35.833333,97.4530116521032,19.9883387350163,13.3618154826001,0.00166873297416556
"102",1977,"25",37.453878,-74.099028,37.583661,-74.360389,264.27699,-14.065294,292.39281287425,39.466667,35.683333,120.402925882147,21.4226788651333,12.8338323991077,0.00192694698214174
"103",1978,"25",38.442528,-73.457839,38.494011,-73.533425,388.00074,-16.144212,409.246277833191,39.166667,37.516667,110.89021902094,21.5993762751768,9.69842810524199,0.00124584193747794
